text,label,lang
বি সি এস দিতে পারবেন আশা করি,0,bangla
भडवा भैया तुला भोंगळा करू गाढवा सारखा बडविणं आईघाल्या बिहारीं कुत्रा,1,marathi
svi are not any applicable godinez you want tanzania,1,english
भुरटा चोर घरगडी फाजील विश्वास गांजा सेवन हरामी सौजन्य संदर्भ संजू दा,1,marathi
त्या अपघातानंतर मानसी अशी झाली जागतिक पॅराबॅडमिंटन चॅम्पियन NationalSportsDay repost,0,marathi
अरे भडव्या लाज नाही वाटत काय मराठी माणसाला हरवून कसले पेढे वाटता,1,marathi
अरे भोच्या लांड्या तर जानं कोर्टात,1,marathi
तुज्या गांडीत pipe घालून तोंडातुन काढीन मादरचोद माणसा,1,marathi
चंद्रयान को लेकर आई इस खबर को पढ़कर आपके चेहरे पर आ जाएगी मुस्कान,1,hindi
किरण को समझना मुमकिन ही नहीं नामुमकिन है कालिया सौ किलो मील दूर तक अंध भक्तों की बहन गुफा में बाबाओं के साथ रसलीला करती है तो बोलती है बाबा जल्दी अंधभक्त पैदा करो नहीं तो किरण को भनक लग जाएगी अभी मैं मुसीबत में फंसी हूं इस वजह से चुप हूं,0,hindi
ফালতু কোথাকার।তুমি কোথা থেকে এই সংবাদ পেয়েছোবেটা এতে করে সাকিবের ভাবমুর্তী নষ্ট হচ্ছে।,0,bangla
सोनाली मनापासून अभिनंदन आणखी मोठ्ठी कामं होऊ देत,0,marathi
ষ্যার সোনাগাছির মুক্তিযুদ্ধা।,0,bangla
মাদারচুদরা ছবির চেইন কাটলে ছবি আপলোড দিবি না।,1,bangla
यांना असे फालतू प्रश्न विचारण्यापेक्षा एकदा जळगाव पोलिस भरती घोटाळ्यावर प्रश्न विचारा लगेच बोलती बंद होईल,0,marathi
কুমিল্লার কিপার একটা আবাল,1,bangla
কুও্ওা দিয়া ফোন মারান উচিৎ,1,bangla
খেলার সময় ছাগলদের বডি ল্যাংগুয়েজ বলে দেয় যে ওরা পিকনিকে গেছে।আগে ফুটবলে আমরা অনেক ভালো ছিলাম।আর বিনোদনের প্রধানক্ষেত্র এটাই ছিল।এটা মোটামুটি ধ্বংসের দ্বারপ্রান্তে চলে গিয়েছিল।এখন ক্রিকেটটাও ওই পর্যায়ে চলে যাচ্ছে মনে হয়।,0,bangla
पारधी जमात आहे त्यांना पण सामाजाचा मुख्यतः पोलिसांचा त्रास सहन करावा लागला आहे,0,marathi
5 मुलींची आई असूनही लेकींची काळजी घेणाऱ्या आणि त्यांना स्वातंत्र्य देणाऱ्या आईविषयी मीनाक्षी यांनी भावनिक पोस्ट लिहिली आहे Aurangabad Vaijapur Honourkilling MinakshiRathod,0,marathi
তোমিতো বড় হারামজাদা কি করে লোকমানের পক্ষে সাফাই গাও। দেশি প্লেয়ারের টাকা কম কেন বিপিএলে বিদেশিদের টাকা বেশি কেন। নিজের স্বেচ্ছাচারিতা মত চালাচ্ছো।কেন খেলার আগেই প্রিমিয়ারলীগে জেনে যায় কে জিতবে কে হারবে।চোরেরমার বড় গলা পাপনতোমি চোরের দোসর।,1,bangla
লাথি মারেন মেরে যান। ভন্ড মাজারপূজারী,0,bangla
प्रादेशिक अस्मिताचं अवडंबर करून लोकांच्या डोक्यात प्रादेशिक पक्षांबद्दल मतप्रवाह बनवायचा हेच घाणेरडे उद्योग सुरुयेत तुमचे आणि नंतर जाऊन हीच लोक काँग्रेस च्या मांडीत जाऊन बसणार,1,marathi
जम्मूकश्मीरमध्ये कश्मीरी पंडितांच्या घरवापसीला सुरुवात झाली आहे 74 वर्षीय कश्मीरी पंडित रोशन लाल मावा यांनी तब्बल 30 वर्षानंतर श्रीनगरच्या गाडा कोचा येथील आपले दुकान सुरू केले आहे,0,marathi
এই রকম একটা সৎ এবং প্রতিভাবান খেলোয়াড় কে ওরা কিভাবে বহিষ্কার করতে পরেএটা চক্রান্ত করা হয়েছে ভাই এর বিরুদ্ধেআজ হইতো সাকিব কাদে নিকিন্তু কেদেছে তার অন্তর আত্মা ।বিনা দোষে আজ সে দোষী,0,bangla
your under arrest my name is di tyler and your under arrest boy,0,english
2 महिन्यांपासून मनमाड तानांदगाव नाशिक तलाठी नाही 6 महिन्यांपासून 712 नोंदी नाही चकरा मारून थकलो विनंत्या करून थकलो झक मारायला ते ऑफिस उघडतात का एक अधिकारी उत्तर देत नाही पगार हरामाचा घेतात का,1,marathi
तुझा दुसरा बाप कीतवा शिकला त्याच सर्टिफिकेट दे की नंतर ये ज्ञान द्यायला भेंचो द इकड तुझ्या आईचा भोसडा तुझ्या,1,marathi
बंगाली लोकांना चावल माच्छी सोडून काहीच स्वर्गीय लागत नाही असो,1,marathi
মাগি জানতো সবকিছু মাগি ভাবতে পারে নাই রিফাত মারা যাবে এটাই সত্য কথা,1,bangla
हे तोंड लपवणारे गांडू आहेत उजवीकडून पहिला चुतीया पळसकर उजवीकडून दुसरा म्हणजे लंकया द चुतीया उजवीकडून तिसरा तमासगीर सुंदरी जय बीम भाऊThumbs up,1,marathi
आपको सोशल मीडिया प्लेटफार्म से हटा दिया जाना चाहिए पाकिस्तानी लोगों को सभी को मार दिया जाना चाहिए,0,hindi
damned good question,0,english
আমার প্রশ্ন স্যার কেন পাঠকদের কাছে ক্ষমা চাইলেন কোন দোষে কি সমস্যা আজব তো,0,bangla
गडकिल्ल्यांवर अय्याशी करणारा हा लबाड कोल्हा आम्हां छत्रीय मराठ्यांना गडाचे पावित्र्य समजावीत आहे,1,marathi
सिंहाने शिकार करणे सोडले तर कुत्रा सुद्धा स्वतःला वाघ समजू लागतो त्याचप्रमाणे काही मादरचोद लोक जे काही बोलताहेत बोलूद्या एकदा साहेब सुटले का सर्वांची गांड मारू isupportRajThackeray RajThackeray EDiot_Hitler I_support_Raj_Thackeray,1,marathi
